Tri;Legal perimeter;Perimètre spatial;Spatial perimeter;Filière;Sector;Power plant;Unit;Combustible;Fuel;Sous-filière;Sub-sector;Program contract;Date of industrial commissioning;Installed capacity ;Minimum design power;Maximum secondary reserve ;Unit;GPS position (wsg84);Region;INSEE region code;Department;INSEE department code;EPCI;INSEE EPCI code;Town;INSEE town code
76;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;PALUEL;PALUEL 1;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P4;1985-12-01;1330;260;60;MW;49.858754, 0.634759;NORMANDIE;28;SEINE-MARITIME;76;CC de la Côte d'Albâtre;200069839;Paluel;76493
77;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;PALUEL;PALUEL 2;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P4;1985-12-01;1330;260;60;MW;49.858754, 0.634759;NORMANDIE;28;SEINE-MARITIME;76;CC de la Côte d'Albâtre;200069839;Paluel;76493
78;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;PALUEL;PALUEL 3;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P4;1986-02-01;1330;260;60;MW;49.858754, 0.634759;NORMANDIE;28;SEINE-MARITIME;76;CC de la Côte d'Albâtre;200069839;Paluel;76493
79;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;PALUEL;PALUEL 4;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P4;1986-06-01;1330;260;60;MW;49.858754, 0.634759;NORMANDIE;28;SEINE-MARITIME;76;CC de la Côte d'Albâtre;200069839;Paluel;76493
80;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;PENLY;PENLY 1;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P'4;1990-12-01;1330;260;60;MW;49.976144, 1.210236;NORMANDIE;28;SEINE-MARITIME;76;CC Falaises du Talou;247600729;Petit-Caux;76618
81;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;PENLY;PENLY 2;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P'4;1992-11-01;1330;260;60;MW;49.976144, 1.210236;NORMANDIE;28;SEINE-MARITIME;76;CC Falaises du Talou;247600729;Petit-Caux;76618
89;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;ST-ALBAN-ST-MAURICE;ST-ALBAN 1;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;H4;1986-05-01;1335;260;60;MW;45.405445, 4.755573;AUVERGNE-RHONE-ALPES;84;ISERE;38;CC d'Entre Bièvre et Rhône;200085751;Saint-Maurice-l'Exil;38425
90;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;ST-ALBAN-ST-MAURICE;ST-ALBAN 2;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;H4;1987-03-01;1335;260;60;MW;45.405445, 4.755573;AUVERGNE-RHONE-ALPES;84;ISERE;38;CC d'Entre Bièvre et Rhône;200085751;Saint-Maurice-l'Exil;38425
91;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;ST-LAURENT-DES-EAUX B;ST-LAURENT B 1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP2;1983-08-01;915;180;40;MW;47.720248, 1.580217;CENTRE-VAL DE LOIRE;24;LOIR-ET-CHER;41;CC du Grand Chambord;244100798;Saint-Laurent-Nouan;41220
92;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;ST-LAURENT-DES-EAUX B;ST-LAURENT B 2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP2;1983-08-01;915;180;40;MW;47.720248, 1.580217;CENTRE-VAL DE LOIRE;24;LOIR-ET-CHER;41;CC du Grand Chambord;244100798;Saint-Laurent-Nouan;41220
94;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;TRICASTIN (LE);TRICASTIN 1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1980-12-01;915;180;40;MW;44.326355, 4.731541;AUVERGNE-RHONE-ALPES;84;DROME;26;CC Drôme Sud Provence;200042901;Saint-Paul-Trois-Châteaux;26324
95;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;TRICASTIN (LE);TRICASTIN 2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1980-12-01;915;180;40;MW;44.326355, 4.731541;AUVERGNE-RHONE-ALPES;84;DROME;26;CC Drôme Sud Provence;200042901;Saint-Paul-Trois-Châteaux;26324
96;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;TRICASTIN (LE);TRICASTIN 3;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1981-05-11;915;180;40;MW;44.326355, 4.731541;AUVERGNE-RHONE-ALPES;84;DROME;26;CC Drôme Sud Provence;200042901;Saint-Paul-Trois-Châteaux;26324
97;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;TRICASTIN (LE);TRICASTIN 4;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1981-11-01;915;180;40;MW;44.326355, 4.731541;AUVERGNE-RHONE-ALPES;84;DROME;26;CC Drôme Sud Provence;200042901;Saint-Paul-Trois-Châteaux;26324
